Statistic,Computer Science League Table 2025,,,,,,,
Variable,"Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Continuation,Graduate prospects outcomes,Graduate prospects on track,Overall Score",,,,,,,
Note,For latest league table please refer to computer-science. © 2024 Complete University Guide Limited. All rights reserved.,,,,,,,
,,,,,,,,
Rank,Institution,Entry Standards,Student Satisfaction,Research Quality,Continuation,Graduate prospects outcomes,Graduate prospects on track,Overall Score
95,University of Buckingham,113,3.07,,90.5,78,88,74.5
96,Cardiff Metropolitan University,120,2.76,2.43,87.5,80,74,74.3
97,University of Central Lancashire,124,3,2.5,83.2,72,73,73.9
98,University of Gloucestershire,118,2.92,1.87,87.7,76,75,73.9
99,University of West London,120,3.13,2.28,88.4,66,62,73.7
100,York St John University,106,3.1,,88.8,82,77,73.4
101,Solent University (Southampton),125,3.05,,88.4,73,70,72.8
102,Leeds Trinity University,119,2.95,,90,,,72.5
103,University of the West of Scotland,150,3.09,2.63,83.5,65,67,72.5
104,University of Bedfordshire,108,3.06,2.2,83.7,76,67,72
105,University of Northampton,110,3.01,2.03,82.7,71,68,71.3
106,Middlesex University,110,3.3,2.61,79.9,67,52,71.2
107,Anglia Ruskin University,113,3.02,2.31,80.2,71,69,70.9
108,University of Bolton,115,3.36,,83.8,64,71,70.7
109,Norwich University of the Arts,137,2.99,,85,66,60,70.5
110,Buckinghamshire New University,112,3.13,,82.2,76,69,70.3
111,Wrexham University,123,2.77,1.67,88.4,58,73,69.5
112,University of Wales Trinity Saint David,157,3.02,,75.3,67,61,69.3
113,University of Wolverhampton,84,3.07,2.01,85,72,64,68.9
114,London Metropolitan University,88,3.4,1.9,81.5,61,65,68.9
115,University of Suffolk,121,2.69,,83.9,69,72,68.8
116,University for the Creative Arts,138,2.82,,87.3,34,47,64.8
117,University of Roehampton,101,2.91,,76.4,61,57,63.3
